time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro
180,0.63087213,9.642049,-2.1769278,-0.061086524,-0.0070249503,-0.03726278
181,0.56682724,9.636064,-2.0721815,-0.08093964,-0.006414085,-0.029321533
182,0.6799533,9.651027,-1.9285295,-0.11056661,-0.0015271631,-0.0125227375
183,0.59735334,9.67856,-1.8315643,-0.16646078,-0.014049901,-0.022907447
184,0.5255273,9.665991,-1.5005659,-0.26847526,-0.032375857,0.002443461
185,0.64703304,9.789292,-1.4000094,-0.37873647,-0.035430185,0.017104227
186,0.7104794,9.801263,-0.8511387,-0.35033122,-0.108123146,-0.0888809
187,0.6404489,9.929353,-0.45908818,-0.25350907,-0.23915374,-0.25686884
188,-0.12030864,9.740809,-0.45789108,-0.19914207,-0.14721853,-0.5363397
189,-1.4209588,9.354146,-0.91697925,-0.1563815,-0.38820487,-0.4428773
190,-1.7531542,9.1272955,-1.4838065,0.093767814,-1.103528,-0.18417588
191,0.19812019,9.214684,-0.40282443,0.44684792,-2.20278,0.029321533
192,0.7164649,9.619304,0.3812766,0.24678956,-0.022907447,-0.09560041
193,-0.0011971008,9.457695,-0.7697359,0.12858713,0.9669997,0.015577064
194,0.018555064,9.818622,-1.0648212,-3.0543262E-4,1.3014483,0.037873644
195,-1.8171991,9.840768,-1.2940661,0.1337795,1.8634444,-0.08246681
196,1.2120646,9.537901,1.1139023,0.10445796,-0.9407325,0.2919936
197,0.6853402,10.205883,0.3788824,-0.036957346,0.6386596,0.02687807
198,-0.55246204,10.277111,-0.74519527,-0.19975294,1.4682146,-0.18600847
199,-0.84934306,9.809045,-0.45968673,-0.25595254,0.5012149,-0.20097467
200,-0.46507367,9.518747,-0.7092823,-0.2049453,0.4382958,-0.31490102
201,0.4237737,8.513782,-0.8882488,-9.162979E-4,0.65026605,-0.52473325
202,-3.3363202,9.084799,-2.0829554,-0.028710667,0.9654725,-0.14294247
203,-1.1067197,9.583391,-1.1504139,0.115453534,-0.09162979,0.38240165
204,-0.2220622,9.776723,-0.8230068,0.14049901,-0.061086524,0.45234573
205,0.30466217,9.990405,-1.1486182,0.07941248,-3.0543262E-4,0.44135013
206,0.4782418,9.895236,-0.7218518,0.08674286,0.11453723,0.19394971
207,0.64942724,9.834184,-1.2976574,0.23335053,0.06383542,0.118507855
208,0.8331822,9.7863,-1.6047137,0.28771752,0.018020526,0.081855945
209,0.78410107,9.728839,-1.8794483,0.20769419,0.053145275,0.011911872
210,0.7026982,9.669582,-2.0213048,0.12186762,0.04917465,-0.041233405
211,0.7673417,9.639654,-2.0326772,0.08827003,0.044593163,-0.03604105
212,0.6793547,9.643246,-2.106299,0.04428773,0.043676864,-0.044898596
213,0.62488663,9.633071,-2.1290438,0.0033597588,0.03726278,-0.051923547
214,0.62129533,9.664794,-2.144606,-0.02443461,0.047647487,-0.043982297
215,0.6099229,9.726444,-2.1392193,-0.10934488,0.0421497,-0.036651913
216,0.5177461,9.615114,-1.7926586,-0.100792766,0.058948494,-0.023823744
217,0.6027403,9.649231,-1.7711107,-0.034513887,0.065973446,0.0061086523
218,0.6596026,9.665991,-1.7178397,-0.04550946,0.03756821,0.0033597588
219,0.7170634,9.768942,-1.8255788,-0.105374254,-0.018020526,0.008246681
220,0.9223662,9.918579,-1.1563994,-0.006414085,-0.04428773,-0.105068825
221,1.2988545,9.686341,-0.7140707,3.0543262E-4,0.24007004,-0.21624629
222,0.83258367,9.635465,-1.1270704,-0.12156218,1.0888673,-0.21746802
223,0.85652566,9.506178,-1.3868413,-0.01160644,1.0403035,-0.38698313
224,-0.8283938,9.7402115,-1.8459295,-0.08582657,0.80573124,-0.3200934
225,-0.59615624,9.563639,-2.3732524,-0.015577064,0.3594942,-0.070554934
226,-0.6326678,9.514558,-1.887828,0.03481932,-0.13347405,0.102319926
227,-0.34596214,9.4217825,-1.377863,0.0070249503,-0.38240165,0.31642818
228,1.2814964,10.055647,-0.12569559,0.003970624,-0.40194935,0.3680463
229,0.6075287,10.067618,-2.0751743,0.0012217305,0.027794369,0.06963864
230,0.54288524,9.731832,-1.3754689,-0.01985312,0.03604105,-0.013133603
231,0.79008657,9.840169,-1.1647792,0.02443461,0.029932396,-0.04337143
232,0.5410896,9.710882,-1.34195,0.08246681,0.03970624,-0.05131268
233,0.45789108,9.70789,-1.3628993,0.08552113,0.060170226,-0.05589417
234,0.3453636,9.619304,-1.3443443,0.10415252,0.033292156,-0.0290161
235,0.516549,9.711481,-1.5765818,0.103847094,0.034513887,-0.028099801
236,0.30047232,9.653421,-1.7956513,0.10323623,0.03481932,-0.064751714
237,0.28311434,9.682152,-1.8710686,0.07696902,-0.013439035,-0.074830994
238,0.20709845,9.653421,-1.9117701,0.051923547,-0.015271631,-0.047036625
239,0.3609259,9.786898,-2.0775685,0.021991149,-0.040927973,-0.03726278
240,0.34476504,9.729437,-2.0452468,-0.025045475,-0.08124508,-0.030848695
241,0.24600422,9.688736,-1.851915,-0.09254608,-0.087659165,-0.059864793
242,0.2669535,9.759963,-1.9285295,-0.14172074,-0.10873401,-0.07391469
243,0.16519992,9.8916445,-1.5263035,-0.22571471,-0.16462818,-0.13133603
244,-0.15861586,9.824607,-1.5825673,-0.12461651,-0.19272798,-0.3640757
245,-0.57879823,9.838373,-1.0839748,-0.23304509,-0.36560285,-0.5027421
246,-2.3612814,10.340557,-4.4322658,0.20219639,-1.5784758,-0.64934975
247,-0.5590461,9.388862,-2.5306711,0.39675698,-3.184746,-0.66889745
248,-1.3293805,7.7584105,-0.7428011,0.6169739,-3.438255,-0.08674286
249,1.1174936,9.03871,2.6659436,0.43493605,-2.7690523,0.7128797
250,1.7962499,10.9187565,2.5600002,0.27885997,-1.0213667,0.43096542
251,1.0432734,10.878654,0.5859809,0.15088372,0.73548174,-0.14019357
252,0.20709845,9.52593,0.24600422,-0.28130344,2.1520782,-0.3662137
253,-1.9740193,8.917204,-1.9919758,-0.25350907,2.4382687,-0.21074851
254,-3.5404258,8.863335,-4.5382094,-0.04550946,1.3213016,0.087964594
255,-0.98341835,9.121908,0.5518635,0.029626964,-0.23793201,0.38637227
256,-0.23882163,10.129868,-1.5221137,0.17348573,0.061086524,0.537256
257,0.040102877,10.014946,-1.0444705,0.14966199,0.09407325,0.44165558
258,0.50876784,9.928156,-1.2856863,0.1853976,0.16676621,0.21533
259,0.5979519,9.849746,-1.7866731,0.2519819,0.07696902,0.08674286
260,0.5434838,9.730036,-1.9764135,0.22693644,0.04184427,0.06291912
261,0.55844754,9.68694,-2.1051018,0.18845193,0.03023783,0.07147124
262,0.65301853,9.638457,-2.2720973,0.119729586,0.023823744,0.053145275
263,0.6847417,9.620501,-2.2691047,0.04153884,0.03176499,0.022907447
264,0.6979098,9.598354,-2.1410148,0.018936822,0.005497787,0.014049901
265,0.7368156,9.583391,-2.2906525,0.064751714,0.0125227375,-0.018020526
266,0.60214174,9.594165,-2.3906105,0.07666359,0.04795292,-0.03970624
267,0.64703304,9.548675,-2.3852234,0.08368854,0.064751714,-0.014660766
268,0.80564886,9.585785,-2.5187001,0.07819075,0.06841691,0.0
269,0.80924016,9.585785,-2.5809495,0.059253927,0.09040806,0.007330383
270,1.0821792,9.61272,-2.5504234,0.11484267,0.089186326,0.0070249503
271,0.7577648,9.482236,-2.6821043,0.07727446,0.12095132,0.0106901415
272,0.770933,9.519944,-2.8383262,0.15271631,0.110872045,0.008552114
273,1.9907787,10.446501,-1.5209166,0.204029,0.10293079,-0.031154128
274,0.5506664,9.196129,-2.6366146,-0.36926803,2.2192733,-0.42241332
275,1.0905589,9.693524,-2.5198972,-0.20158553,1.3377949,-0.26419923
276,0.83378077,9.865907,-1.7866731,-0.15668693,0.46944994,-0.22296582
277,0.06284779,9.549872,-1.3748703,-0.1459968,0.34574974,-0.20372356
278,0.13826515,9.51336,-1.7645266,-0.12156218,-0.0693332,-0.10567969
279,0.87448215,9.625289,-1.5574282,-0.06536258,-0.35918877,-0.011301007
280,0.024540568,9.572019,-1.5682021,-0.08857546,-0.092240654,-0.013133603
281,0.1328782,9.634268,-1.4610616,-0.028710667,-0.8717047,0.04917465
282,1.4742297,8.801085,-2.4079683,0.13133603,-1.2800682,0.34513888
283,1.5574282,10.003573,-1.3377602,0.08307768,0.40225476,0.08155051
284,0.83617496,9.746197,-1.7908629,0.07727446,0.030848695,-0.052534413
285,0.6278794,9.654618,-1.7196354,0.08827003,0.004581489,-0.08002335
286,0.7338228,9.596559,-1.6699557,0.115453534,0.015271631,-0.057726767
287,0.6631939,9.688736,-2.1086931,0.129198,-0.0021380284,-0.07360926
288,0.57161564,9.64145,-2.0536265,0.045814894,0.0033597588,-0.08674286
289,0.43035775,9.610924,-1.9967642,0.025045475,3.0543262E-4,-0.08246681
290,0.46447513,9.639056,-2.0913353,0.007941248,-0.009773844,-0.063224554
291,0.44651863,9.661202,-2.03567,-0.03634648,-0.009773844,-0.032070424
292,0.4189853,9.673173,-2.0452468,-0.062002823,-0.02107485,-0.015271631
293,0.13467385,9.647436,-1.8788497,-0.1151481,-0.029932396,-0.021380283
294,0.3633201,9.658808,-1.8303672,-0.17470746,-0.04886922,0.0036651916
295,0.46746787,9.762956,-1.6160861,-0.27091873,-0.048563786,-0.018325957
296,0.2633622,9.715072,-1.3060371,-0.30268374,-0.0693332,-0.06383542
297,0.50517654,9.788693,-0.7392098,-0.2932153,-0.13561209,-0.0870483
298,0.61052144,10.074203,-0.7236475,-0.18081611,-0.25778514,-0.22235495
299,0.010175358,9.958682,-0.2896984,-0.09040806,-0.1142318,-0.44135013
300,-0.6781576,9.797073,-0.55964464,-0.028405234,-0.1337795,-0.6078109
301,-2.4768016,9.077616,-2.123657,0.05681047,-0.70952,-0.61391956
302,-2.369661,8.986037,-1.685518,0.039095376,-1.7348573,-0.3481932
303,-1.8489223,8.87351,-0.45370123,0.13316862,-2.310598,0.082161374
304,0.48003745,11.157578,0.051475335,0.13927728,-2.2675319,0.14019357
305,0.35314476,9.814431,0.92176765,0.33444872,-1.6939293,-0.43493605
306,-0.694917,8.512584,1.009156,0.45112398,-1.1890492,-0.37843102
307,-1.893215,8.892065,-0.34476504,0.6105598,0.18784106,0.13439035
308,-1.1839328,9.412804,0.587178,0.2770274,-0.3924809,0.35796702
309,1.2904748,10.925341,0.49559975,0.082161374,0.36560285,0.32375857
310,0.4794389,10.245986,-0.6865373,-0.2669481,1.7696766,-0.15821409
311,1.9800048,7.2849574,-1.7968484,-0.1414153,1.9260582,0.010079277
312,-0.96426475,9.260174,-3.1052797,-0.023518313,1.146594,0.8891144
313,7.72968,12.824541,-1.2964603,-0.022602014,-0.31978795,0.70188415
314,1.0761937,10.028712,-0.98222125,0.07971791,0.11301007,-0.033292156
315,0.3633201,9.770139,-1.2707225,0.12797627,0.057421334,-0.05222898
316,0.516549,9.745,-1.2419921,0.17592919,0.029626964,-0.060170226
317,0.39324763,9.674969,-1.3790601,0.20250183,0.03145956,-0.0729984
318,0.32022446,9.660006,-1.5849615,0.22357668,0.016187929,-0.0693332
319,0.35673606,9.676167,-1.9812019,0.22174409,0.003970624,-0.011301007
320,0.40641573,9.689933,-2.1631613,0.1282817,-0.008552114,-0.06352998
321,0.16579847,9.562442,-2.0578163,0.0842994,-0.01740966,-0.05497787
322,0.27952304,9.599552,-2.2810757,0.102319926,0.002443461,0.004581489
323,0.260968,9.648034,-2.3959973,0.033292156,-0.0021380284,-0.032986723
324,0.20829555,9.564238,-2.2709002,0.008552114,0.009468411,-0.0106901415
325,0.22565351,9.586982,-2.3092074,-0.029321533,-0.002443461,0.004886922
326,0.046088383,9.688137,-3.0178912,-0.037873644,0.043676864,0.0125227375
327,0.31663316,9.561843,-2.2068555,-0.03573562,0.042455133,0.03970624
328,0.44592008,9.677363,-2.0745757,-0.10445796,0.027183503,0.01282817
329,0.40581718,9.636662,-1.9506758,-0.12034045,0.026267206,0.045814894
330,0.44831428,9.635465,-1.7357962,-0.18784106,0.014049901,0.004886922
331,0.58777654,9.697714,-1.5610195,-0.22357668,-0.005497787,0.021991149
332,0.45549688,9.638457,-1.2336124,-0.2947425,0.004276057,0.029932396
333,0.61770403,9.654019,-0.9271546,-0.2874121,-0.03268129,0.041233405
334,0.7410054,9.755774,-0.7469909,-0.24251351,-0.116980694,-0.03390302
335,0.52133745,9.874287,-0.48003745,-0.14019357,-0.09865474,-0.015271631
336,-1.6178818,9.890448,-3.235165,0.02321288,0.116675265,3.0543262E-4
337,-0.5835867,9.391854,-0.5518635,0.28038713,-0.38423425,-0.29993483
338,0.61650693,9.280524,-1.299453,0.17531833,0.036957346,-0.12003502
339,1.9315223,9.824008,0.0724246,0.18570304,-0.1133155,-0.11026118
340,0.9624691,9.945514,0.038307227,0.061086524,0.09773844,-0.1282817
341,0.5907693,9.816227,-0.44831428,-0.04886922,0.3820962,-0.13927728
342,-0.29149407,9.731233,-1.6597804,-0.08124508,0.7113526,-0.14049901
343,-0.51834464,9.446921,-1.3700819,-0.04917465,0.39095375,-0.09896017
344,-0.33877954,9.667188,-1.2252327,0.03023783,0.129198,0.023823744
345,-0.26156655,9.53012,-1.1546037,0.06078109,-0.04795292,0.048563786
