Elapsed Time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1.48E+09,-0.128027,-0.068682,-0.108772,0.032584,0.018587,0.067127
1.48E+09,-0.404244,-0.11489,-0.105848,0.047409,0.027966,-0.012375
1.48E+09,-0.403744,0.362906,-0.304007,0.162309,0.061534,0.052368
1.48E+09,-0.24573,0.120784,0.069071,-0.011137,-0.074304,-0.087766
1.48E+09,-0.026555,0.336745,1.154001,0.267987,-0.083692,0.070032
1.48E+09,-0.082466,0.573793,1.598074,0.283532,-0.606395,-0.026516
1.48E+09,-0.249427,0.453221,0.530684,0.491626,-1.41035,-0.001083
1.48E+09,-0.116269,0.675444,-0.497686,0.335262,-1.038432,-0.011726
1.48E+09,0.1499,0.784143,-1.023054,0.291528,-1.004712,0.044535
1.48E+09,0.087069,1.390737,-0.412388,0.284179,-1.177054,-0.019554
1.48E+09,-0.257617,1.905873,1.450414,0.194723,-0.719677,-0.002253
1.48E+09,-0.380987,2.584853,2.669757,0.083319,0.073387,0.131407
1.48E+09,-0.375708,3.396343,2.645096,0.248511,0.499928,0.176508
1.48E+09,-0.097881,2.947692,2.374596,0.317043,0.428188,0.181869
1.48E+09,-0.291665,1.385782,2.821291,-0.00242,0.697408,-0.127638
1.48E+09,-0.173514,0.445735,2.635274,-0.00643,0.11243,-0.353795
1.48E+09,0.315524,0.245843,2.346454,-0.035361,0.369249,-0.330982
1.48E+09,0.502192,-0.791259,1.695786,-0.103,0.217521,-0.060872
1.48E+09,0.408825,-1.593707,1.028527,-0.509576,0.624047,-0.319381
1.48E+09,0.398495,-2.353955,0.402229,-0.57702,0.61783,-0.204744
1.48E+09,-0.076563,-3.220006,-1.932536,-0.386466,0.439567,-0.165312
1.48E+09,0.94082,-4.782829,-2.705832,0.0068,-0.114415,-0.141527
1.48E+09,1.100485,-4.236713,-1.367326,0.80406,-1.995753,-0.639461
1.48E+09,0.432057,-2.96862,-0.444201,0.491237,-0.491522,0.031945
1.48E+09,-0.248475,-1.65391,0.22286,-0.283315,1.208926,0.405396
1.48E+09,-0.263318,-0.301541,0.129909,-0.791176,1.504,0.387478
1.48E+09,-0.090758,-0.272885,-0.064317,-0.550229,0.770354,0.33588
1.48E+09,0.088804,-0.412866,0.091492,-0.271462,0.101611,0.132112
1.48E+09,0.044325,-0.229713,0.190781,-0.010967,-0.029152,0.026724
1.48E+09,0.683156,-0.335698,0.163772,0.10788,0.067343,-0.024736
1.48E+09,1.160798,-1.037471,0.28063,0.150965,0.058657,0.038798
1.48E+09,1.164139,-0.680515,0.480697,0.174275,-0.284994,-0.076585
1.48E+09,1.053453,0.245182,0.468379,0.215338,-0.386793,0.043375
1.48E+09,1.00418,0.909998,0.201342,0.099375,-0.11373,0.130274
1.48E+09,0.877868,0.976822,-0.331438,0.093991,-0.012248,0.011349
1.48E+09,0.518618,0.678775,-0.877365,0.120851,-0.026788,-0.041207
1.48E+09,-0.115377,0.651106,-0.981714,0.162652,0.042614,-0.086454
1.48E+09,-0.168909,0.952049,-1.216914,-0.012589,0.452953,-0.030385
1.48E+09,0.225221,0.242581,-1.272835,-0.214485,0.619477,-0.012614
1.48E+09,0.290759,-0.005335,-1.157323,-0.147667,0.201253,0.013489
1.48E+09,0.288815,0.241282,-0.928488,0.016164,0.225996,0.11201
1.48E+09,0.261975,0.308349,-0.689623,-0.069925,0.27864,0.138385
1.48E+09,0.230212,0.252254,-0.221855,-0.143781,0.18734,0.089418
1.48E+09,0.100287,-0.024526,-0.049808,-0.12374,0.113583,0.04136
1.48E+09,-0.050083,-0.013409,-0.009241,-0.038073,0.095261,-0.029134
1.48E+09,-0.130478,0.07176,-0.047406,0.009909,-0.058964,-0.086393
1.48E+09,-0.03836,0.350083,-0.136626,-0.099577,-0.036848,-0.074805
1.48E+09,0.134027,0.83987,-0.168161,-0.157325,0.029654,-0.033488
1.48E+09,0.43321,1.429778,-0.103892,-0.129001,-0.004767,0.023057
1.48E+09,0.258056,0.992763,0.119264,0.035719,-0.002212,0.065212
1.48E+09,0.268584,0.001296,0.37899,0.187862,0.036474,0.040205
1.48E+09,0.250735,-0.111881,0.441966,0.28497,0.08589,-0.103848
1.48E+09,0.149465,-0.080789,0.495169,0.20111,0.03242,0.044011
1.48E+09,0.166737,-0.029114,0.538699,0.0138,0.062505,-0.016137
1.48E+09,0.196366,0.050021,0.561093,-0.133302,0.196933,-0.017012
1.48E+09,0.204842,0.080389,0.485889,-0.1387,0.181339,0.030842
1.48E+09,0.184951,0.172557,0.394515,-0.074994,0.109817,0.037861
1.48E+09,0.14736,0.271708,0.342014,-0.002373,0.043269,0.042827
1.48E+09,0.108367,0.238977,0.236529,0.05642,-0.037761,0.034595
1.48E+09,0.017925,0.032546,0.161441,0.12475,-0.103143,0.014553
1.48E+09,-0.139137,-0.208993,0.095796,0.075371,-0.058244,-0.016152
