time(ms),time (ds),time_raw,x_accel,y_accel,z_accel,g_measured
7533.008,753.3008,5337.508225,-0.05751,-0.965363,0.33725,1.024192
7562.551,756.2551,5337.537768,-0.166443,-0.860443,0.402832,0.964541
7592.088,759.2088,5337.567305,-0.017334,-0.99501,0.347946,1.054236
7621.64,762.164,5337.596857,0.064636,-0.934906,0.293701,0.982083
7651.184,765.1184,5337.626401,-0.012924,-0.957901,0.312943,1.007807
7680.727,768.0727,5337.655944,0.065186,-0.98735,0.260895,1.023316
7710.27,771.027,5337.685487,0.144608,-0.981003,0.223679,1.016519
7739.81,773.981,5337.715027,0.001083,-0.983429,0.245392,1.013583
7769.351,776.9351,5337.744568,0.017838,-0.960327,0.238205,0.98959
7798.895,779.8895,5337.774112,0.112778,-0.949387,0.231552,0.983702
7828.434,782.8434,5337.803651,0.03688,-0.990448,0.28392,1.030999
7857.973,785.7973,5337.83319,0.008179,-0.977982,0.205902,0.999455
7887.513,788.7513,5337.86273,-0.023743,-0.9384,0.22554,0.965416
7917.053,791.7053,5337.89227,0.006683,-0.99118,0.179169,1.007266
7946.594,794.6594,5337.921811,0.006119,-0.981369,0.173431,0.996595
7976.136,797.6136,5337.951353,-0.144302,-0.946136,0.152222,0.969107
8005.679,800.5679,5337.980896,-0.147934,-0.944595,0.156631,0.968854
8035.223,803.5223,5338.01044,0.049942,-1.024979,0.087143,1.029888
8064.765,806.4765,5338.039982,0.024048,-1.008896,0.152878,1.020696
8094.305,809.4305,5338.069522,-0.156448,-0.970932,0.14473,0.994048
8123.845,812.3845,5338.099062,-0.360733,-0.924942,0.27771,1.030907
8153.386,815.3386,5338.128603,-0.131912,-0.927078,0.199402,0.957411
8182.924,818.2924,5338.158141,0.251343,-0.851166,0.095703,0.892645
8212.465,821.2465,5338.187682,-0.554047,-0.821625,-0.072113,0.993597
8242.004,824.2004,5338.217221,-0.095215,-1.756699,-0.59346,1.856677
8271.542,827.1542,5338.246759,-0.256531,-1.833099,0.242294,1.866753
8301.078,830.1078,5338.276295,0.268356,-1.443405,0.525269,1.559276
8330.614,833.0614,5338.305831,0.15509,-1.463974,0.392731,1.52365
8360.154,836.0154,5338.335371,0.236343,-1.345413,0.450378,1.438345
8389.693,838.9693,5338.36491,0.227036,-1.155457,0.357544,1.230635
8419.232,841.9232,5338.394449,0.24025,-1.097351,0.245316,1.149817
8448.771,844.8771,5338.423988,0.253983,-0.753372,0.207977,0.821785
8478.311,847.8311,5338.453528,0.107849,-0.621826,0.118912,0.642214
8507.854,850.7854,5338.483071,0.077164,-0.423813,0.130417,0.450089
8537.397,853.7397,5338.512614,0.055771,-0.336319,0.125916,0.363422
8566.94,856.694,5338.542157,0.208023,-0.306015,0.22963,0.435487
8596.483,859.6483,5338.5717,0.476303,-0.423813,0.392792,0.748844
8626.025,862.6025,5338.601242,0.424057,-0.53244,0.736298,1.002722
8655.567,865.5567,5338.630784,0.243423,-0.369965,1.08873,1.175356
8685.109,868.5109,5338.660326,0.542908,-0.826935,0.621048,1.16802
8714.647,871.4647,5338.689864,0.787231,-0.617432,0.546036,1.139785
8744.188,874.4188,5338.719405,0.402405,-0.864441,0.505157,1.079061
8773.725,877.3725,5338.748942,0.487854,-1.053131,0.503723,1.265237
8803.265,880.3265,5338.778482,0.412476,-0.990677,0.338623,1.125274
8832.809,883.2809,5338.808026,0.298218,-0.906693,0.455902,1.057767
8862.351,886.2351,5338.837568,0.522461,-0.953079,0.413025,1.162719
8891.891,889.1891,5338.867108,0.25145,-0.948456,0.255508,1.013943
8921.437,892.1437,5338.896654,0.220718,-0.862106,0.267014,0.929107
8950.976,895.0976,5338.926193,0.19606,-0.945602,0.314011,1.015483
8980.518,898.0518,5338.955735,0.051941,-0.962677,0.288956,1.006449
9010.059,901.0059,5338.985276,0.090271,-0.837891,0.361008,0.916808
9039.598,903.9598,5339.014815,0.089813,-0.950729,0.313797,1.005197
9069.139,906.9139,5339.044356,-0.01944,-0.950684,0.296371,0.995999
9098.68,909.868,5339.073897,0.08194,-0.950378,0.252487,0.986754
9128.222,912.8222,5339.103439,0.043869,-0.901245,0.290115,0.947805
9157.757,915.7757,5339.132974,-0.011154,-0.969162,0.194275,0.988505
9187.301,918.7301,5339.162518,0.02121,-0.953796,0.251663,0.986667
9216.84,921.684,5339.192057,0.021164,-0.943985,0.262634,0.980068
9246.378,924.6378,5339.221595,0.039703,-0.919434,0.324265,0.975747
9275.914,927.5914,5339.251131,0.006256,-0.958145,0.331955,1.014039
9305.451,930.5451,5339.280668,0.028702,-0.900528,0.243408,0.933286
9334.972,933.4972,5339.310189,-0.065201,-0.928207,0.194824,0.950672
9364.528,936.4528,5339.339745,-0.009735,-0.980469,0.22551,1.006115
9394.067,939.4067,5339.369284,0.02774,-0.938477,0.244919,0.970306
9423.608,942.3608,5339.398825,0.00885,-0.912155,0.312012,0.964083
9453.149,945.3149,5339.428366,-0.015656,-0.858429,0.239792,0.891429
9482.69,948.269,5339.457907,-0.027817,-0.881912,0.262924,0.920691
9512.224,951.2224,5339.487441,0.085205,-0.892868,0.263214,0.934749
9541.768,954.1768,5339.516985,0.205612,-0.88266,0.27655,0.947547
9571.309,957.1309,5339.546526,0.450897,-0.932861,0.215866,1.058365
9600.848,960.0848,5339.576065,0.315872,-0.964462,0.509308,1.135499
9630.39,963.039,5339.605607,-0.283508,-1.218704,0.783005,1.476047
9659.933,965.9933,5339.63515,0.201797,-0.406494,0.94603,1.049253
9689.472,968.9472,5339.664689,0.750214,-0.701553,1.118698,1.518711
9719.012,971.9012,5339.694229,0.510269,-2.915558,0.275269,2.972646
9748.551,974.8551,5339.723768,0.062988,-1.731796,0.183334,1.742612
9778.091,977.8091,5339.753308,-0.933395,-0.62001,0.282318,1.155571
9807.628,980.7628,5339.782845,1.80719,-1.886612,-0.608795,2.682512
9837.166,983.7166,5339.812383,0.096603,-0.468063,-0.168243,0.506677
9866.703,986.6703,5339.84192,-0.134552,-0.473694,-0.013077,0.492606
9896.243,989.6243,5339.87146,-0.1073,-0.515182,0.016541,0.526498
9925.784,992.5784,5339.901001,-0.099564,-0.470963,0.011398,0.481507
9955.325,995.5325,5339.930542,-0.082092,-0.612198,-0.005722,0.617704
9984.867,998.4867,5339.960084,-0.08519,-0.684341,0.024567,0.690061
10014.408,1001.4408,5339.989625,-0.096237,-0.671356,0.055145,0.680457
10043.949,1004.3949,5340.019166,-0.02652,-0.75856,0.05571,0.761065
10073.486,1007.3486,5340.048703,0.111038,-0.810394,0.081818,0.822048
10103.023,1010.3023,5340.07824,0.212555,-0.792038,0.100616,0.826213
10132.563,1013.2563,5340.10778,0.226425,-0.79747,0.14949,0.842362
