time (ms),time (ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
7386.302,738.6302,0.657654,-1.163254,1.289398,1.856937,4013.629975
7415.85,741.585,0.565781,-2.206787,1.662842,2.820472,4013.659523
7445.393,744.5393,0.519196,-1.239624,1.317947,1.882344,4013.689066
7474.938,747.4938,3.315399,3.463974,2.543365,5.427679,4013.718611
7504.482,750.4482,-3.311539,-4.958801,-1.318573,6.106933,4013.748155
7534.027,753.4027,0.923904,0.086929,1.048828,1.400427,4013.7777
7563.572,756.3572,2.069153,0.467148,1.431061,2.558819,4013.807245
7593.12,759.312,1.626312,-0.928299,1.396591,2.336043,4013.836793
7622.667,762.2667,0.734848,-1.089096,1.21286,1.788061,4013.86634
7652.211,765.2211,0.366745,-0.80896,0.811005,1.202766,4013.895884
7681.759,768.1759,0.581146,-0.610031,0.90918,1.239547,4013.925432
7711.305,771.1305,1.013748,-0.392242,0.53537,1.211677,4013.954978
7740.849,774.0849,0.860947,-0.677505,0.920074,1.430657,4013.984522
7770.395,777.0395,0.105545,-0.59877,1.244461,1.385045,4014.014068
7799.939,779.9939,-0.653732,-0.805786,1.118774,1.525881,4014.043612
7829.486,782.9486,-0.486908,-2.388336,1.246948,2.737902,4014.073159
7859.033,785.9033,0.257797,-1.378372,0.275314,1.429044,4014.102706
7888.577,788.8577,0.533066,-1.494476,-0.498489,1.663163,4014.13225
7918.124,791.8124,-0.033707,-1.080292,-0.528275,1.203013,4014.161797
7947.661,794.7661,-0.825394,-0.236252,-0.442886,0.966042,4014.191334
7977.21,797.721,-1.316086,-0.402893,-0.692657,1.540837,4014.220883
8006.755,800.6755,-0.998459,-1.764923,-0.828476,2.19049,4014.250428
8036.297,803.6297,0.042557,-2.10585,-0.670319,2.210372,4014.27997
8065.842,806.5842,0.298752,-2.748062,0.001022,2.764254,4014.309515
8095.388,809.5388,0.14212,-1.658478,1.196487,2.049958,4014.339061
8124.919,812.4919,0.158737,-1.78334,1.560379,2.374928,4014.368592
8154.484,815.4484,0.633835,-1.236603,1.821411,2.290954,4014.398157
