time (ms),  accel x,  accel y,  accel z,  magneto x,  magneto y,  magneto z,  gryo x,  gyro y,  gyro z,  linear accel x,  linear accel y,  linear accel z,  orientation x,  orientation y,  orientation z
1477622581269, 3.3704374, 6.3524156, -5.361216, 5.889, 151.831, 38.038, -0.46639562, -2.2766948, -1.7150042, 7.127652, -2.6085258, -4.036357, 262.69275, -113.96951, -22.747719
1477622581372, 14.467563, 3.3452983, -3.7379475, 6.738, 156.108, 37.655, -0.25717425, 1.5280794, 0.11362094, 7.862013, -3.292108, -0.8255625, 69.92484, -137.40381, 66.20734
1477622581474, 2.3529017, 19.608511, -1.9632454, 5.529, 148.02, 42.019, 1.6710218, 1.8023579, 4.8145347, -5.42115, 14.366458, 0.9099755, 59.1597, -147.68723, 69.71613
1477622581576, -19.421165, 19.608511, 3.9390604, -12.678, 133.241, 53.866, -1.6829338, 2.2266037, 6.3001585, -29.200024, 19.605902, 4.6768603, 23.009953, -179.98474, 85.685295
1477622581690, -13.5296335, -14.499286, 3.8540661, -27.999, 127.879, 60.214, -1.0424415, 2.8567114, 1.5919148, -6.4757, -20.641369, 6.8014784, 279.86578, -141.221, -67.3229
1477622581793, -12.647969, -4.706402, 4.5795093, -21.891, 128.871, 55.224, 0.979217, -1.8332067, -4.4553456, -4.893188, 0.7978883, 2.184401, 349.93488, 34.144463, -72.8364
1477622581905, -19.255966, 19.608511, 10.466252, -0.938, 138.722, 46.565, -2.0207422, -4.946787, -6.1410284, -14.193508, 26.605247, 5.8200083, 355.69528, 45.517834, -47.454777
1477622582009, 3.3985693, 8.522161, -4.472967, 3.599, 146.406, 42.005, 1.0833695, -1.6325374, -2.5292876, 7.0892687, -0.5628805, -4.578475, 269.85547, -67.88291, -22.108915
1477622582114, 14.388554, 2.3666685, -2.8832173, 4.467, 152.305, 36.988, -0.046731193, -0.035430185, -0.5497787, 7.7874875, -4.7188625, -1.3367518, 59.84725, -133.73682, 76.81481
1477622582221, 3.2237926, 19.608511, -7.6111674, 1.977, 145.802, 44.439, -0.5867361, 2.283109, 4.1022654, -3.8341727, 13.723438, -4.1875076, 71.479095, -143.12221, 64.123024
1477622582323, -19.60911, 19.608511, 7.9188223, -15.638, 132.969, 47.328, 0.59131753, 0.5348125, 6.394232, -29.310589, 18.522308, 8.852542, 26.535273, -173.64076, 84.502495
1477622582437, -14.850036, -11.01632, 0.57400984, -22.727, 128.572, 68.496, -0.8790351, 4.116621, 0.37965274, -6.08622, -14.722724, 2.9464557, 303.76132, -157.79337, -74.852554
1477622582540, -5.9627595, -7.1784153, 5.5168395, -23.123, 129.315, 55.262, -1.7012597, 0.43279803, -2.101682, 1.6088753, -1.5939441, 2.7501779, 348.2253, 34.71241, -69.927795
1477622582654, -11.75553, 19.608511, -4.244321, -3.192, 136.276, 52.491, 3.0543262E-4, -2.9452868, -6.370103, -4.5187097, 23.412374, -9.659987, 350.11322, 22.823036, -53.190697
1477622582756, 1.2491747, 17.159842, -0.78888947, 4.771, 151.177, 37.861, 1.1664472, -1.0781772, -2.3044891, 6.363501, 9.071878, -2.9333968, 307.3712, -55.56242, -32.306725
1477622582865, 11.550227, 1.4496891, -0.16101007, 5.78, 155.157, 37.631, 0.8518516, -0.5149594, -0.8017606, 8.894228, -7.8353767, -1.8650018, 80.75632, -71.22917, 15.963211
1477622582970, 4.100669, 15.132552, 0.6404489, 4.241, 151.913, 39.263, 0.28710666, 0.038179077, 3.3383787, -2.144013, 7.7243524, 2.1546822, 65.328125, -130.93738, 76.3698
1477622583073, -19.60911, 19.608511, 0.073023155, -7.112, 139.163, 53.303, -1.3026701, 1.2003502, 5.3682837, -28.542803, 15.685908, 1.0592887, 36.281933, -156.42218, 83.70015
1477622583184, -13.168708, -7.591415, -2.544438, -23.988, 129.574, 65.359, 0.20891592, 4.365854, 1.7968601, -6.0728393, -13.651304, 0.47164607, 283.75952, -141.83438, -66.97218
