timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
2140,-1.367885,0.720127,-1.489276,-1.865544,-1.893093,4.093071,-0.7363,-0.65948,-0.151489,0.180849,-0.503819,0.178573,-39.400795,-8.2116,-3.250174
2160,-1.391542,0.63601,-1.511454,-1.477811,-1.848416,3.667548,-0.791582,-0.59399,-0.143434,0.106554,-0.357701,0.143251,-39.400795,-8.2116,-3.250174
2180,-1.421258,0.57535,-1.532648,-1.309064,-2.195577,2.410439,-0.829639,-0.544129,-0.124996,0.088489,-0.322555,0.149364,-40.209873,-3.456923,-1.277663
2200,-1.450744,0.537372,-1.557249,-1.336,-2.101346,1.293735,-0.852874,-0.51188,-0.102884,0.418899,-0.127082,-0.021475,-40.354019,-0.684822,1.225005
2220,-1.480462,0.522045,-1.591788,-1.675794,-2.431822,0.298916,-0.863267,-0.498654,-0.078195,0.543519,0.187024,-0.039267,-40.26305,-0.058859,3.04958
2240,-1.509038,0.51694,-1.631802,-1.658903,-2.405771,-0.062264,-0.867678,-0.494223,-0.053655,0.311068,0.371954,-0.106929,-40.26305,-0.058859,3.04958
2260,-1.528846,0.534814,-1.665221,-1.211409,-1.321101,-1.636075,-0.859607,-0.509681,-0.036082,0.289554,0.176764,0.189631,-39.940083,-0.199062,5.930169
2280,-1.533904,0.588859,-1.687583,-0.664035,-0.662614,-3.345137,-0.831009,-0.555412,-0.030671,0.490418,0.313484,0.221467,-39.599464,-2.636929,7.43944
2300,-1.531531,0.670113,-1.703779,-0.440245,-0.153484,-4.441056,-0.783148,-0.621074,-0.030766,0.559622,0.412945,0.250996,-39.599464,-2.636929,7.43944
2320,-1.519808,0.765865,-1.718329,-0.247026,0.215705,-4.968066,-0.719846,-0.693161,-0.036735,0.672056,0.358001,0.281959,-38.500233,-9.420567,7.707235
2340,-1.507955,0.868185,-1.730918,-0.091698,0.005614,-5.243819,-0.644938,-0.763157,-0.040582,0.755762,0.330235,0.39248,-38.500233,-9.420567,7.707235
2360,-1.504181,0.977077,-1.747297,-0.192126,-0.823479,-5.53935,-0.558207,-0.828866,-0.03724,0.854868,0.260033,0.414407,-36.615814,-15.260542,7.537536
2380,-1.510223,1.082792,-1.768416,-0.136526,-1.325567,-5.058819,-0.468005,-0.88327,-0.028383,0.710909,0.027206,0.273317,-35.166153,-18.242321,7.808704
2400,-1.541643,1.176119,-1.768351,0.44451,-1.699611,-4.534716,-0.384347,-0.923121,-0.011208,0.346016,-0.094732,0.055214,-35.166153,-18.242321,7.808704
2420,-1.615118,1.269365,-1.728371,0.690729,-1.823987,-4.829467,-0.296596,-0.954912,0.013154,0.151592,-0.093519,0.100783,-29.715027,-25.456141,9.970887
2440,-1.739188,1.371171,-1.637036,0.5039,-1.685162,-5.340153,-0.195497,-0.980141,0.033235,-0.108794,-0.331794,0.314009,-26.772264,-28.013693,11.353209
2460,-2.067759,1.47233,-1.332627,0.542416,-1.157518,-5.482738,-0.086415,-0.995156,0.046869,-0.17271,-0.472938,0.276145,-21.3925,-31.693459,12.973125
2480,2.821278,1.50514,0.046867,0.859608,-0.737383,-5.175206,0.020658,-0.997845,0.062272,-0.268934,-0.52991,0.265289,-21.3925,-31.693459,12.973125
2500,2.166528,1.426883,0.694325,0.946186,-0.38281,-4.724247,0.118712,-0.989662,0.080473,-0.373976,-0.689613,0.261476,-16.671574,-34.005222,14.004285
2520,2.005865,1.340735,0.84911,0.82181,-0.593997,-4.236502,0.206794,-0.973652,0.096112,-0.643531,-1.066799,0.131366,-11.467527,-35.618713,15.172989
2540,1.928646,1.270201,0.910296,0.405722,-0.882773,-2.982102,0.277333,-0.95516,0.103708,-1.030125,-0.962,0.364187,-11.467527,-35.618713,15.172989
2560,1.876346,1.238903,0.958805,-0.572942,0.039032,-1.020878,0.310741,-0.945427,0.098017,-1.483547,-0.55471,0.298727,-5.806199,-36.560699,16.12513
2580,1.815792,1.234246,1.027707,-1.204767,0.264476,-0.527522,0.320371,-0.9439,0.080099,-1.762266,0.011694,-0.048177,-5.443629,-36.807625,15.683824
2600,1.759977,1.226326,1.097616,-0.798527,0.713045,-0.460638,0.331673,-0.941254,0.063506,-1.929787,0.124329,-0.320494,-5.443629,-36.807625,15.683824
2620,1.776789,1.230788,1.103749,0.226046,1.368912,0.615374,0.326444,-0.942752,0.068213,-1.580167,0.325885,-0.3599,-5.002765,-37.436188,14.280077
2640,1.858517,1.247099,1.052748,0.742834,1.742414,1.122499,0.304999,-0.948066,0.090259,-1.068945,0.134513,-0.10094,-6.334284,-37.209038,14.345055
2660,1.955116,1.264614,0.97752,0.71989,0.449671,1.113619,0.279433,-0.953491,0.113011,-0.890364,0.037995,0.093212,-6.334284,-37.209038,14.345055
2680,1.946674,1.238302,1.003698,-0.427631,1.633344,-3.754395,0.303615,-0.945231,0.119819,1.154744,-0.508718,-0.116691,-8.049644,-36.631191,14.959132
2700,1.842222,1.186992,1.142116,-1.530571,1.407333,-0.552321,0.360742,-0.927247,0.100392,-0.317239,-2.050261,-0.172704,-5.140173,-37.575836,13.858271
2720,1.922355,1.241727,1.047459,1.607444,-0.621807,3.393023,0.303397,-0.946344,0.111284,0.389566,-0.210486,0.293119,-5.140173,-37.575836,13.858271
2740,1.958984,1.265347,0.996015,-1.203909,-1.403255,0.557852,0.278347,-0.953712,0.113827,0.53394,0.247612,0.927586,-7.339178,-37.103966,14.136784
2760,1.799428,1.291917,1.136139,-2.445805,-0.983145,0.823228,0.268115,-0.961365,0.06239,-0.301013,-0.199646,-0.021772,-8.238091,-37.199001,13.371035
